Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,011210607033,Pantry,Tabasco - Chipotle Pepper Sauce (60ml),Units,0,0,340,0,0,#N/A,#N/A,#N/A,#N/A
Badar,011210006508,Pantry,Tabasco - Hot Habanero Sauce 60ml,Units,0,0,340,0,0,#N/A,#N/A,#N/A,#N/A
Badar,011210600133,Pantry,Tabasco - Pepper Sauce (60ml),Units,6,0,672.5,0,6,#N/A,#N/A,#N/A,#N/A
Badar,011210009387,Pantry,Tabasco - mild green pepper sauce 60ml,Units,2,0,760,0,2,#N/A,#N/A,#N/A,#N/A
Badar,11210007253,Pantry,Tabasco garlic paper sauce 60ml,Units,0,0,345,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3502,Chocolates,Tabs - Chocolate Nutty Bar,Units,0,5,600,3000,5,#N/A,#N/A,#N/A,#N/A
Badar,3427,Pantry,Tabs - Meethi Chutni (Big),Units,6,0,1071.43,0,6,#N/A,#N/A,#N/A,#N/A
Badar,3458,Pantry,Tabs - Meethi Chutni (Medium),Units,8,1,800,800,9,#N/A,#N/A,#N/A,#N/A
Badar,3446,Pantry,Tabs - Meethi Chutni Sugar Free (Small),Units,0,0,700,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3425,Pantry,Tabs - Rishty Ka Achar,Units,11,0,800,0,11,#N/A,#N/A,#N/A,#N/A
Badar,3457,Pantry,Tabs - Rishty Ka Achar (Small),Units,0,0,600,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3426,Pantry,Tabs - Riwayati Saunf,Units,10,1,376,376,11,#N/A,#N/A,#N/A,#N/A
Badar,8853602001300,Pantry,Tai-Tai - Rice Vermicelli (200g),Units,0,0,635,0,0,#N/A,#N/A,#N/A,#N/A
Badar,633148100013,Pantry,Tajin - Clasico Seasoning (142g),Units,6,0,1500,0,6,#N/A,#N/A,#N/A,#N/A
Badar,633148100556,Pantry,Tajin - Clasico Seasoning With Lime (400g),Units,0,0,2221.19,0,0,#N/A,#N/A,#N/A,#N/A
Badar,633148100617,Pantry,Tajin - Fruity Chamoy Hot Sauce (455ml),Units,0,0,1546.52,0,0,#N/A,#N/A,#N/A,#N/A
Badar,633148104547,Pantry,Tajin - Habanero Seasoning (45g),Units,0,0,966.28,0,0,#N/A,#N/A,#N/A,#N/A
Badar,633148100129,Pantry,Tajin - Mild Hot Sauce (455ml),Units,0,0,1792,0,0,#N/A,#N/A,#N/A,#N/A
Badar,7500810020241,Pantry,Takis - Blue Heat (280g),Units,0,0,2650,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528047528,Pantry,Takis - Blue Heat Tortilla Chips (113.4g),Units,0,0,1420,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528050573,Pantry,Takis - Blue Heat Tortilla Chips (56g),Units,0,0,720.34,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528048112,Pantry,Takis - Blue Heat Tortilla Chips (92.3g),Units,0,0,1550,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528046651,Pantry,Takis - Fuego (280g),Units,0,0,2650,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528023164,Pantry,Takis - Fuego Hot Chilli Pepper & Lime Tortilla Chips (90g),Units,0,0,1140,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528008833,Pantry,Takis - Guacamole Tortilla Chips (113g),Units,0,0,932.2,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528046682,Pantry,Takis - Hot Chilli Pepper & Lime (155.92g),Units,0,0,1950.64,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528008796,Pantry,Takis - Hot Chilli Pepper & Lime Chips ( 113.4g),Units,0,0,1411.02,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528005047,Pantry,Takis - Hot Chilli Pepper & Lime Chips (28g),Units,0,0,453.39,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528005276,Pantry,Takis - Hot Chilli Pepper & Lime Chips (56g),Units,0,2,733.05,1466.1,2,#N/A,#N/A,#N/A,#N/A
Badar,815196019350,Pantry,Takis - Hot Chilli Pepper & Lime Popcorn (28g),Units,1,1,813.56,813.56,2,#N/A,#N/A,#N/A,#N/A
Badar,757528023027,Pantry,Takis - Mini Fuego 35g,Units,0,15,300,4500,15,#N/A,#N/A,#N/A,#N/A
Badar,757528045289,Pantry,Takis - Nacho Cheese Tortilla Chips (92.3g),Units,0,0,1400,0,0,#N/A,#N/A,#N/A,#N/A
Badar,757528050177,Pantry,Takis - Waves Blue Heat Potato Chips (71g),Units,0,0,894.07,0,0,#N/A,#N/A,#N/A,#N/A
Badar,9414897010904,Frozen,Talleys -  Mussels Half Shell (1kg),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2382,Dry Fruits,Tamarind Ball (150g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2389,Dry Fruits,Tamarind Ball Loose,kg,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2401,Fruits,Tamarind Losse,Units,0,0,250,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8991102300421,Pantry,Tango - Wafer Royal Chocolate (133g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8991102303309,Pantry,Tango - Wafer Sassy Strawberry (133g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8991102300544,Pantry,Tango - Wafer Vanilla Delight (133g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8852044110328,Pantry,Taro - Fish Snack BBQ Flavor (5g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8852044110120,Pantry,Taro - Fish Snack Original (5g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3272770092678,Milk Dairy and Cheese,Tartare - Garli & Herb Cheese (150g),Units,0,0,1652.54,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8004732003195,Pantry,Tartufi - White Truffle Oil,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8964001538714,Pantry,Taste Made - Almond Flour 350g ,Units,5,0,2150,0,5,#N/A,#N/A,#N/A,#N/A
Badar,8964001538752,Pantry,Taste Made - Cumin Seeds 150g,Units,0,0,695,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8964001538738,Pantry,Taste Made - Himalayan Pink Salt 500g,Units,0,0,295.93,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8964001538745,Pantry,Taste Made - Red Chili Crushed Pepper Flakes 75g,Units,5,0,340,0,5,#N/A,#N/A,#N/A,#N/A
Badar,8964001538721,Pantry,Taste Made - Taraditional Basmati Rice 500g,Units,1,0,450,0,1,#N/A,#N/A,#N/A,#N/A
